layer,feature,group,unit,definition,n_missing,mean,sd,min,max
space,nearest_opponent_distance,Pressure and support,m,Euclidean distance from the acting player to the closest visible opponent. NaN when the actor is not locatable in the freeze frame.,900.0,5.369796975542359,4.563832018675341,0.0,56.66710140909074
space,nearest_teammate_distance,Pressure and support,m,Euclidean distance from the acting player to the closest visible teammate. NaN when the actor is not locatable in the freeze frame.,681.0,9.166849652509809,4.437868931870951,0.0,61.83673440373725
space,defensive_density_around_ball_5m,Defensive density,count,Number of visible opponents within 5 m of the acting player.,0.0,0.8304358326331938,0.878745833426071,0.0,10.0
space,defensive_density_around_ball_10m,Defensive density,count,Number of visible opponents within 10 m of the acting player.,0.0,2.013505607352656,1.5209875060653573,0.0,11.0
space,defensive_density_around_ball_15m,Defensive density,count,Number of visible opponents within 15 m of the acting player.,0.0,3.385796747497355,1.9662495754062506,0.0,11.0
space,defensive_density_in_front_of_ball,Defensive density,count,"Number of visible opponents within 15 m of the acting player and inside a forward cone of 30 degrees half-angle about the line from the ball to the goal centre (120, 40). Counts opponents who are both near and goal-side, which a plain radius does not distinguish.",0.0,1.1525227134348563,0.9285399201119231,0.0,10.0
space,n_opponents_ahead_of_ball,Defensive structure,count,"Number of visible opponents with a larger x than the acting player, i.e. between the ball and the opponent's goal line.",0.0,5.740612744014232,2.5218002154262686,0.0,11.0
space,n_opponents_between_ball_and_goal,Defensive structure,count,Number of visible opponents with a larger x than the acting player and with y inside the penalty-area corridor (18 <= y <= 62). A count of the defenders actually obstructing the path to goal.,0.0,4.473759222283827,2.439350201656451,0.0,11.0
space,n_opponents_visible,Defensive structure,count,Total visible opponents in the freeze frame. Partly a coverage measure: see the coverage table and the visibility controls in the paper.,0.0,7.637896315848552,2.262803192415281,0.0,11.0
space,n_teammates_visible,Defensive structure,count,"Total visible teammates in the freeze frame, excluding the actor.",0.0,6.540295725350268,1.7917799905546417,0.0,10.0
